"","Start date","End date","Year","Country name","Location","Latitude","Longitude","Magnitude value","Disaster Type","Disaster subtype","Associated dis.","Total deaths","Total affected","Total damage ('000 US$)","Insured losses ('000 US$)","Disaster No.","RainFall","Temp"
"390","/09/2014","/09/2014",2014,"India","Jammu and Kashmir provinces",NA,NA,35550,"Flood","Riverine flood","Slide (land, mud, snow, rock)",298,275000,18000,150000,"2014-0343",192.447,27.074
"391","24-9-2014","11-10-2014",2014,"India","Tura village (West Garo Hills district, Meghalaya province), Goalpara, Kamrup districts (Assam province)",NA,NA,61894.97,"Flood","Riverine flood","Slide (land, mud, snow, rock)",95,650000,320000,NA,"2014-0391",61.1298,26.7708
"392","9-8-2014","16-8-2014",2014,"India","Odisha province",NA,NA,31390,"Flood","Riverine flood","--",47,3600000,258000,NA,"2014-0409",197.886,30.3993
"393","20-3-2015","31-3-2015",2015,"India","Chadoora village (72811 district, Jammu and Kashmir province)",331767,76.41,70287.98,"Flood","Flash flood","Slide (land, mud, snow, rock)",44,2122,20000,NA,"2015-0107",39.0113,29.2624
"394","19-6-2015","20-6-2015",2015,"India","Amreli, Rajkot, Surat districts (Gujarat province), Maharashtra province",218734,70.76,43781.56,"Flood","Riverine flood","--",81,9000,420000,NA,"2015-0249",218.213,21.8254
"395","8-11-2015","4-12-2015",2015,"India","Chittoor, Cuddapah, Prakasam, Nellore districts (Andhra Pradesh province), Chennai, Cuddalore, Nagapattinam, Kancheepuram, Thiruvallur, Villupuram districts (Tamil Nadu province), Puducherry province",118278,788.55,93202.05,"Flood","--","--",325,1801000,1680000,755000,"2015-0504",30.9177,26.8333
"396","22-4-2016","25-4-2016",2016,"India","Arunachal Pradesh, Assam, Nagaland provinces",27464,95607,70517.68,"Flood","--","Slide (land, mud, snow, rock)",18,100000,10000,NA,"2016-0139",86.3833,26.5087
"397","25-6-2016","1-7-2016",2016,"India","Chamoli, Pithoragahr districts (Uttarakhand province), Assam, Arunachal Pradesh provinces",27068,93.95,135742.3,"Flood","Flash flood","--",61,10278,1000,NA,"2016-0239",86.3833,29.2624
"398","28-7-2016","30-7-2016",2016,"India","Lakhimpur, Golaghat, Jorhat, Barpeta, Bongaigaon, Goalpara, Dhubri, Marigaon, Darrang, Nalbari districts (Assam province)",NA,NA,4470,"Flood","Flash flood","--",50,2000000,500000,NA,"2016-0267",86.3833,26.923
"399","15-7-2016","12-9-2016",2016,"India","Biha, Uttar Pradeshr province (Varanasi, Allahabad, Ghazipur, Ballia, Banda, Jalaun, Ghaziabad, Patna, Bhagalpur, Vaishali, Buxar, Bhojpur, Sonepur, Saran, Begusarai, Samastipur, Lakhisarai, Khagaria, Munger, Nalanda, Katihar, Purnea, Katihar, Supual, Kisanganj, Madhepura, Gopalganj, Saharsa, Araria, East Champaran, Muzafferpur, Kishanganj, Purnea, Araria, Supaul, Bhagalpur, Darbhanga)",NA,NA,171900,"Flood","--","--",254,1600000,2000,NA,"2016-0271",86.3833,29.2624
"400","9-7-2016","22-8-2016",2016,"India","Bhopal, Hoshangabad, Rewa, Sagar, Shajapur, Jabalpur, Satna, Harda, Panna, Vidisha, Raisen, Mandla, Tikamgarh, Seoni, Damoh, Sehore, Agar-Malwa districts (Madhya Pradesh province)",NA,NA,135742.3,"Flood","--","--",184,100000,163000,NA,"2016-0276",86.3833,26.797
"401","21-9-2016","29-9-2016",2016,"India","Andhra Pradesh province, Telangana",17654,80.34,137435.4,"Flood","--","--",28,3000,18000,44000,"2016-0391",86.3833,23.3404
"402","22-4-2016","25-4-2016",2016,"India","Arunachal Pradesh, Assam, Nagaland provinces",27464,95607,70517.68,"Flood","--","Slide (land, mud, snow, rock)",18,100000,447000,NA,"2016-0139",86.3833,26.395
"403","/06/2017","/08/2017",2017,"India","Banaskantha, Valsad, Navsari, Surat, Sabarkantha, Patan (Gujarat), Barmer, Jalore, Udaipur, Sirohi, Pali (Rajasthan), Kolkata (West Bengal)",NA,NA,40000,"Flood","--","--",284,520000,420000,NA,"2017-0294",116.15,26.4105
"404","11-8-2017","31-8-2017",2017,"India","Araria, Jogbani (Bihar); Uttar Pradesh, West Bengal",NA,NA,40000,"Flood","--","--",514,17200000,165000,NA,"2017-0342",116.15,27.2546
"405","29-8-2017","29-8-2017",2017,"India","Mumbai (Dadar, Khar, Bandra, Lalbaug, Kalina, Sion, Byculla, Matunga, Wadala, Parel, Khar-Danda, Pali Hill, Carter Road, Bandra, Ghatkopar, Bhandup, Mulund, and Santacruz), Thane (Maharashtra)",NA,NA,37710,"Flood","Flash flood","--",14,12,320000,78000,"2017-0364",116.15,26.5004
"406","17-5-2018","20-5-2018",2018,"India","Tripura state",NA,NA,6530,"Flood","Flash flood","--",15,11728,85000,NA,"2018-0213",211.738,27.4781
"407","29-5-2018","31-5-2018",2018,"India","Karnataka, Mangaluru",NA,NA,129000,"Flood","--","--",12,4945,276000,NA,"2018-0216",164.781,26.4473
"408","7-8-2018","20-8-2018",2018,"India","Thrissur, Chengannur (Kerala state)",NA,NA,135742.3,"Flood","Flash flood","Slide (land, mud, snow, rock)",361,5411712,100000,NA,"2018-0295",59.8377,26.4251
