"","Start date","End date","Year","Country name","Location","Latitude","Longitude","Magnitude value","Disaster Type","Disaster subtype","Associated dis.","Total deaths","Total affected","Total damage ('000 US$)","Insured losses ('000 US$)","Disaster No.","RainFall","Temp"
"326","22-9-1988","9-10-1988",1988,"India","Punjab, Himachal Pradesh, Haryana, Jamuu and Kashmir, Delhi",NA,NA,38537,"Flood","Riverine flood","--",1000,221000,2300000,NA,"1988-0438",39.5473,26.5087
"327","10-6-1991","12-6-1991",1991,"India","Bombay, Kerala, Gujarat",NA,NA,491400,"Flood","Riverine flood","--",72,300000,2300000,48000,"1991-0278",164.781,27.4781
"328","1-6-1991","9-7-1991",1991,"India","Kerala state",NA,NA,144300,"Flood","Riverine flood","--",99,500,117000,NA,"1991-0509",164.781,25.0814
"329","14-9-1991","15-9-1991",1991,"India","West Bengal state",NA,NA,91960,"Flood","Riverine flood","--",84,4000000,100000,NA,"1991-0766",126.23,25.0814
"330","8-9-1992","31/09/1992",1992,"India","Uttar Pradesh, Jammu, Madhya Pradesh",NA,NA,550,"Flood","Riverine flood","Slide (land, mud, snow, rock)",500,70000,175000,NA,"1992-0083",157.851,27.1127
"331","8-10-1992","8-10-1992",1992,"India","Vamanapuram, Amravilla (Trivadrum district, Kerala state)",NA,NA,49220,"Flood","Riverine flood","--",51,500,57850,NA,"1992-0147",55.7493,25.0814
"332","10-11-1992","10-11-1992",1992,"India","Tamil Nadu, Kerala, Karnataka, Andhra Pradesh states",NA,NA,35730,"Flood","--","--",179,500,2500000,NA,"1992-0483",38.2194,25.3791
"333","8-7-1993","31-7-1993",1993,"India","Punjab, Haryana, Himachal Pradesh, Gujarat, Jammu and Kashmir, Rajasthan, Madhya Pradesh, Chandigarh, Assam states",NA,NA,80937,"Flood","--","--",827,128000000,220000,NA,"1993-0042",239.945,25.9029
"334","9-9-1993","17-9-1993",1993,"India","Uttar Pradesh",NA,NA,350600,"Flood","Riverine flood","--",260,500000,20000,NA,"1993-0325",191.799,27.074
"335","/05/1994","/10/1994",1994,"India","Assam, Arunachal Pradesh, Jammu and Kashmir, Himachal, Punjab, Uttar Pradesh, Goa, Kerala, Gujarat states",NA,NA,21120,"Flood","--","--",2001,12060050,90400,NA,"1994-0068",88.0855,26.9224
