,img_id,best_search_label,top_websites,spoofed,document_sentiment,sentence_sentiment,logos
index,https://pbs.twimg.com/card_img/1063436230984118272/5FWLquOQ?format=jpg&name=600x314,"(u'nato', u'defense')","(u'en.interaffairs.ru', u'interaffairs.ru', u'www.liberationnews.org', u'londonprogressivejournal.com', u'londonprogressivejournal.com', u'www.globalresearch.ca', u'www.radiohc.cu', u'tb.ziareromania.ro', u'www.politicalscrapbook.co.uk', u'www.europeanintegration.am', u'rickrozoff.wordpress.com', u'rickrozoff.files.wordpress.com', u'rickrozoff.files.wordpress.com', u'www.liberationnews.org', u'www.globalresearch.ca', u'www.globalresearch.ca', u'www.picswe.com', u'rickrozoff.files.wordpress.com', u'www.globalresearch.ca', u'www.globalresearch.ca', u'www.globalresearch.ca', u'www.globalresearch.ca', u'www.globalresearch.ca', u'rickrozoff.wordpress.com', u'rickrozoff.files.wordpress.com', u'mediastiriv1.freenode.ro', u'simfalogic.news', u's3.amazonaws.com', u'img.haikudeck.com')",,,,[]
0,https://pbs.twimg.com/card_img/1063436230984118272/5FWLquOQ?format=jpg&name=600x314,"(u'nato', u'defense')","(u'en.interaffairs.ru', u'interaffairs.ru', u'www.liberationnews.org', u'londonprogressivejournal.com', u'londonprogressivejournal.com', u'www.globalresearch.ca', u'www.radiohc.cu', u'tb.ziareromania.ro', u'www.politicalscrapbook.co.uk', u'www.europeanintegration.am', u'rickrozoff.wordpress.com', u'rickrozoff.files.wordpress.com', u'rickrozoff.files.wordpress.com', u'www.liberationnews.org', u'www.globalresearch.ca', u'www.globalresearch.ca', u'www.picswe.com', u'rickrozoff.files.wordpress.com', u'www.globalresearch.ca', u'www.globalresearch.ca', u'www.globalresearch.ca', u'www.globalresearch.ca', u'www.globalresearch.ca', u'rickrozoff.wordpress.com', u'rickrozoff.files.wordpress.com', u'mediastiriv1.freenode.ro', u'simfalogic.news', u's3.amazonaws.com', u'img.haikudeck.com')",,,,[]
