sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Associated disaster2","Total deaths","Total affected","Total damage ('000 US$)","Insured losses ('000 US$)","Disaster name","Disaster No."
28/05/2002,28/05/2002,Argentina,ARG,"Aminga, Anillaco, Agua Blanca, Chuquis towns (Castro Barros district, La Rioja Provinve)",-28.937,-66.797,6,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,0,727,0,0,,2002-0368
04/06/1999,04/06/1999,Azerbaijan,AZE,"Agdash, Geokchai, Udzhar",40.802,47.448,5.4,Richter,Earthquake,"Ground movement",--,--,1,9168,5000,0,,1999-0196
25/11/2000,25/11/2000,Azerbaijan,AZE,"Absheron, Baku, Sumgayit districts (Absheron province)",40.245,49.946,7,Richter,Earthquake,"Ground movement",--,--,31,3294,10000,0,,2000-0769
07/05/2012,07/05/2012,Azerbaijan,AZE,"Balaken, Gakh, Zagatala districts (Shaki-Zaqatala province)",41.549,46.79,5.6,Richter,Earthquake,"Ground movement",--,--,0,15550,0,0,,2012-0191
18/05/2012,18/05/2012,Azerbaijan,AZE,"Zagatala, Gakh districts (Shaki-Zaqatala province)",,,4.8,Richter,Earthquake,"Ground movement",--,--,0,6949,0,0,,2012-0545
22/07/1999,22/07/1999,Bangladesh,BGD,"Maheshkhali Isl. Level 1 = Chittagong Div",21.544,91.895,5.2,Richter,Earthquake,"Ground movement",--,--,6,15200,0,0,,1999-0228
02/01/2000,02/01/2000,Bangladesh,BGD,"Maheshkhali area (Cox's Bazar district, Chittagong province)",,,,Richter,Earthquake,"Ground movement",--,--,0,1000,0,0,,2000-0023
26/07/2003,26/07/2003,Bangladesh,BGD,"Chittagong, Cox's Bazar, Rangamati districts (Chittagong province)",22.854,92.306,5.7,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,2,2525,0,0,,2003-0452
26/12/2004,26/12/2004,Bangladesh,BGD,"Barisal, Chittagong, Khulna provinces",3.295,95.982,9.1,Richter,Earthquake,Tsunami,--,--,2,0,500000,0,,2004-0659
25/04/2015,25/04/2015,Bangladesh,BGD,"Savar area (Dhaka district, Dhaka province), Narayanganj, Gazipur, Gopalganj districts (Dhaka province), Sunamganj district (Sylhet province), Comilla, Feni districts (Chittagong province), Habiganj district (Sylhet province), Gangachara area (Rangpur district, Rangpur province), Gaibandha district (Rangpur province), Rajshahi, Naogaon, Bogra, Pabna districts (Rajshahi province)",28.231,84.73,7.8,Richter,Earthquake,"Ground movement",--,--,4,200,0,0,,2015-0144
03/01/2016,03/01/2016,Bangladesh,BGD,"Dhaka, Jamalpur districts (Dhaka province), Rajshahi district (Rajshahi province), Lalmonirhat, Panchagarh districts (Rangpur province)",24.804,93.65,6.7,Richter,Earthquake,"Ground movement",--,--,5,70,0,0,,2016-0002
29/11/2007,29/11/2007,Barbados,BRB,"Bridgetown (St. Michael Province)",14.944,-61.274,7.4,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,0,1,0,0,,2007-0572
21/09/2009,21/09/2009,Bhutan,BTN,"Monggar, Trashigang provinces",27.332,91.437,6.1,Richter,Earthquake,"Ground movement",--,--,11,12,0,0,,2009-0406
18/09/2011,18/09/2011,Bhutan,BTN,"Paro, Thimphu provinces",27.73,88.155,6.9,Richter,Earthquake,"Ground movement",--,--,1,20016,0,0,,2011-0351
09/12/2007,09/12/2007,Brazil,BRA,"Itacarambi, Januaria, Manga, Varzelandia districts (Minas Gerais province)",-15.048,-44.231,4.9,Richter,Earthquake,"Ground movement",--,--,1,286,0,0,,2007-0653
20/02/2006,20/02/2006,Bulgaria,BGR,"Murgovo village (Kardzhali district, Kardzhali province)",41.708,25.544,4.6,Richter,Earthquake,"Ground movement",--,--,0,527,0,0,,2006-0148
22/05/2012,22/05/2012,Bulgaria,BGR,"Pernik town (Pernik Province), Sofia town (Sofia-city Province)",22.968,,5.6,Richter,Earthquake,"Ground movement",--,--,0,210,0,0,,2012-0152
24/02/2004,24/02/2004,Burundi,BDI,"Ruyaga village (Rugombo district, Cibitoke province)",-3.393,29.558,4.7,Richter,Earthquake,"Ground movement",--,--,3,120,0,0,,2004-0671
13/06/2005,13/06/2005,Chile,CHL,"Iquique, Alto Hospicio towns (Iquique district, Tarapaca province), Pozo Almonte, Pica, Camina, Huara, Colchane towns (Tamarugal district, Tarapaca province)",-19.987,-69.197,7.8,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,11,27645,5000,40000,,2005-0321
