sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Associated disaster2","Total deaths","Total affected","Total damage ('000 US$)","Insured losses ('000 US$)","Disaster name","Disaster No."
02/02/2011,05/02/2011,Australia,AUS,"Cassowary, Innisfail, Silkwood, Mission Beach, Cardwell, Tully towns (Cassowary Coast district, Queensland province), Townsville town (Townsville district, Queensland province), Ingham town (Hinchinbrook district, Queensland province)",,,290,Kph,Storm,"Tropical cyclone",Flood,--,1,7300,2500000,1300000,"Tropical Cyclone ""Yasi""",2011-0070
23/01/2013,30/01/2013,Australia,AUS,"Brisbane, Ipswich, Bundaberg, Rockhampton districts (Queensland province), New South Wales province",,,,Kph,Storm,"Tropical cyclone",Flood,--,6,7500,2000000,1000000,"Ex-Tropical cyclone Oswald",2013-0008
22/11/2014,30/11/2014,Australia,AUS,"Brisbane district (Queensland province)",,,,Kph,Storm,"Convective storm",--,--,0,52539,1000000,852000,,2014-0475
20/02/2015,20/02/2015,Australia,AUS,"Northern Territory, Western Australia provinces",,,185,Kph,Storm,"Tropical cyclone",--,--,0,438,78000,0,"Cyclone Lam ",2015-0053
22/02/2015,24/02/2015,Australia,AUS,"Queensland, New South Wales provinces",,,210,Kph,Storm,"Tropical cyclone",--,--,1,6000,546000,396000,"Cyclone 'Marcia'",2015-0079
12/03/2015,15/03/2015,Australia,AUS,"Carnarvon, Ashburton, Upper Gascoyne, Geraldton-Greenough, Irwin districts (Western Australia province)",,,160,Kph,Storm,"Tropical cyclone",--,--,0,600,57000,49000,"Cyclone 'Olwyn'",2015-0135
20/04/2015,28/04/2015,Australia,AUS,"Dungog, Hunters Hill, Sydney districts (New South Wales province)",,,135,Kph,Storm,"Convective storm",Flood,Surge,7,1000,1300000,730000,,2015-0148
04/06/2016,05/06/2016,Australia,AUS,"New South Wales, Queensland, Tasmania provinces",,,115,Kph,Storm,"Convective storm",Flood,--,5,0,500000,310000,,2016-0201
27/03/2017,06/04/2017,Australia,AUS,"Logan region; Queensland; Nouvelle-Galles du Sud, au sud du Queensland, Sydney; Bowen (Whitsunday), Mackay, Proserpine (Whitsunday), Airlie beach (Whitsunday Isl.)",,,263,Kph,Storm,"Tropical cyclone",Flood,--,12,45000,2700000,1400000,Debbie,2017-0105
06/03/2017,09/03/2017,Australia,AUS,,,,,Kph,Storm,"Convective storm",--,--,0,6000,490000,390000,,2017-0562
27/05/2000,27/05/2000,Austria,AUT,"Steiermark province",,,,Kph,Storm,--,Hail,--,0,0,20000,0,,2000-0311
27/10/2002,28/10/2002,Austria,AUT,"No Data from sources (all provinces of Austria have been selected)",,,,Kph,Storm,"Extra-tropical storm",--,--,2,0,5000,0,Jeannet,2002-0675
14/11/2002,14/11/2002,Austria,AUT,"Salzbourg region",,,160,Kph,Storm,--,--,--,1,300,0,0,,2002-0706
17/01/2007,18/01/2007,Austria,AUT,"No Data from sources (all provinces of Austria have been selected)",,,,Kph,Storm,"Extra-tropical storm",--,--,0,0,400000,260000,Kyrill,2007-0019
29/02/2008,02/03/2008,Austria,AUT,"Tirol, Salzburg, Niederosterreich provinces",,,130,Kph,Storm,"Extra-tropical storm",Flood,--,4,0,500000,0,Emma,2008-0082
23/07/2009,24/07/2009,Austria,AUT,"Kufstein district (Tirol province), Braunau am Inn, Voecklabruck, Wels districts (Oberosterreich province), Tulln district (Niederosterreich province), Wien district (Wien province)",,,,Kph,Storm,"Convective storm",Hail,Flood,0,0,500000,0,,2009-0273
05/08/2017,09/08/2017,Austria,AUT,"Tirol, Karnten, Liezen (Sölk, Öblarn, Donnersbachwald), Murtal-Judenburg (Oberzeiring, Kobenz), Murau (Oberwölz) (Steiermark), Grossartal-Sankt Johann imm Pongau (Salzburg), Mayhofem-Schwaz (Zillertal), Steinach am Brenner-Innsbruck-land, Floitental (Schwaz), Oberösterreich (Waldzell-Ried im Innkreis), Niederösterreich, Bruck-Mürzzuschlag-Bruck an der mur, Deutschlandsberg, Wiez, Leoben",,,,Kph,Storm,"Convective storm",Flood,"Slide (land, mud, snow, rock)",3,210,1200,12000,,2017-0328
19/08/2017,19/08/2017,Austria,AUT,"Sankt Johann am Walde (Braunau am Inn), Salzburg, Bad Ischl (Gmunden)",,,126,Kph,Storm,"Convective storm",--,--,2,120,0,0,,2017-0360
07/09/1999,17/09/1999,"Bahamas (the)",BHS,"Grand Bahama Isl.",,,,Kph,Storm,"Tropical cyclone",--,--,1,0,450000,22000,Floyd,1999-0327
09/11/2001,09/11/2001,"Bahamas (the)",BHS,"New Providence island (Administrative unit not available)",,,,Kph,Storm,"Tropical cyclone",--,--,0,0,300000,15000,Michelle,2001-0671
02/09/2004,03/09/2004,"Bahamas (the)",BHS,"Abacos, Andros, Berry Islands, Bimini, Eleuthera, Grand Bahama, New Providence islands (Administrative unit not available)",,,,Kph,Storm,"Tropical cyclone",--,--,2,8000,1000000,230000,Frances,2004-0455
25/08/2004,08/09/2004,"Bahamas (the)",BHS,,,,,Kph,Storm,"Tropical cyclone",--,--,1,0,0,0,Ivan,2004-0462
25/09/2004,25/09/2004,"Bahamas (the)",BHS,"Abaco, Andros, Berry, Bimini, Eleuthera, Exuma, Grand Bahama, New Providence Islands (Administrative unit not available)",,,,Kph,Storm,"Tropical cyclone",Flood,Surge,9,1000,550000,0,Jeanne,2004-0473
19/10/2005,25/10/2005,"Bahamas (the)",BHS,,,,,Kph,Storm,"Tropical cyclone",--,--,1,1500,0,0,"Hurricane ""Wilma""",2005-0585
28/10/2007,02/11/2007,"Bahamas (the)",BHS,"Abaco, Long Island, Exuma, Cat Island, Andros, New Providence islands (Administrative unit not available)",18.53,-70.06,,Kph,Storm,"Tropical cyclone",Flood,--,1,7000,0,0,Noel,2007-0523
26/08/2008,26/08/2008,"Bahamas (the)",BHS,,,,,Kph,Storm,"Tropical cyclone",Flood,--,0,0,0,0,"Hurricane ""Gustav""",2008-0352
07/09/2008,07/09/2008,"Bahamas (the)",BHS,"Great Inagua, Mayaguana, Acklins, Crooked, Raaged Islands (Administrative unit not available)",,,215,Kph,Storm,"Tropical cyclone",--,--,0,3000,0,0,"Hurricane Ike",2008-0384
23/08/2011,26/08/2011,"Bahamas (the)",BHS,,,,,Kph,Storm,"Tropical cyclone",--,--,0,10000,40000,0,"Hurricane Irene",2011-0328
24/10/2012,24/10/2012,"Bahamas (the)",BHS,,,,,Kph,Storm,"Tropical cyclone",--,--,1,0,0,0,"Hurricane Sandy",2012-0410
01/10/2015,04/10/2015,"Bahamas (the)",BHS,"Exuma, Long Island, Mayaguana, Rum Cay, San Salvador, Samana Cay, Crooked Isl., Ragged Islands (Administrative unit not available)",,,,Kph,Storm,"Tropical cyclone",Flood,Surge,33,6710,90000,61000,"Hurricane Joaquin",2015-0479
28/09/2016,10/10/2016,"Bahamas (the)",BHS,"New Providence, Nassau",,,,Kph,Storm,"Extra-tropical storm",Flood,--,0,0,600000,0,"Hurricane Matthew",2016-0355
08/09/2017,09/09/2017,"Bahamas (the)",BHS,"Inagua, Mayaguana, Crooked Island, Acklins, Long Cay, Ragged Island, San Salvador, Bimini",,,,Kph,Storm,"Tropical cyclone",--,--,0,0,2000,397.6,"Hurricane 'Irma'",2017-0381
07/04/1999,08/04/1999,Bangladesh,BGD,Parbatipur,,,,Kph,Storm,--,Flood,--,7,200,0,0,,1999-0105
26/03/1999,26/03/1999,Bangladesh,BGD,"Panchagarh district, Level 1 = Rajshahi Div",,,,Kph,Storm,"Convective storm",--,--,2,100060,0,0,,1999-0115
30/04/1999,30/04/1999,Bangladesh,BGD,"Kurigram (Rangpur)",,,120,Kph,Storm,"Convective storm",--,--,3,1150,0,0,,1999-0189
25/10/1999,25/10/1999,Bangladesh,BGD,"Satkhira, Khulna, Bagerhat, Pirojpur, Borguna districts",,,150,Kph,Storm,"Tropical cyclone",--,--,0,0,0,0,05B,1999-0532
10/04/1999,10/04/1999,Bangladesh,BGD,"Bhola, Barisal & Patuakhil districts, Level 1 = Barisal Div",,,106,Kph,Storm,--,--,--,66,100,0,0,,1999-0576
01/07/1999,05/07/1999,Bangladesh,BGD,"Bengal Gulf",,,,Kph,Storm,--,--,--,50,0,0,0,,1999-0738
05/03/2000,05/03/2000,Bangladesh,BGD,"Natore district (Rajshahi province)",,,,Kph,Storm,"Convective storm",--,--,0,3050,0,0,,2000-0146
21/04/2000,21/04/2000,Bangladesh,BGD,"Alpara, Netrokona Sadar, Kendua, Purbadhala areas (Netrakona district, Dhaka province), Rangpur district (Rangpur province)",,,120,Kph,Storm,"Tropical cyclone",--,--,20,62800,0,0,,2000-0211
11/04/2000,11/04/2000,Bangladesh,BGD,"Maulvibazar district (Sylhet province), Netrakona district (Dhaka province)",,,80,Kph,Storm,"Tropical cyclone",--,--,0,7012,0,0,,2000-0229
27/05/2000,19/06/2000,Bangladesh,BGD,"Dhaka, Mymensingh, Tangail, Kishoreganj districts (Dhaka province), Chittagong, Cox's Bazar, Comilla, Chandpur districts (Chittagong province)",,,70,Kph,Storm,--,Flood,--,36,71000,0,0,,2000-0283
23/05/2000,23/05/2000,Bangladesh,BGD,"Chittagong province",,,,Kph,Storm,--,--,--,28,0,0,0,,2000-0294
25/06/2000,25/06/2000,Bangladesh,BGD,"Ullahpara area (Sirajganj district, Rajshahi province), Gaurnadi area (Barisal district, Barisal province)",,,,Kph,Storm,"Convective storm",--,--,0,2537,0,0,,2000-0631
28/10/2000,28/10/2000,Bangladesh,BGD,"Barisal, Barguna, Jhalokati, Bhola, Pirojpur districts (Barisal province), Khulna district (Khulna province), Noakhali, Lakshmipur, Cox's Bazar, Chandpur districts (Chittagong province), Dhaka, Mymensingh, Shariatpur districts (Dhaka province)",,,100,Kph,Storm,"Tropical cyclone",--,--,15,200,0,0,,2000-0713
11/05/2001,11/05/2001,Bangladesh,BGD,"Mymensingh, Netrakona, Tangail, Gopalganj districts (Dhaka province), Naogaon district (Rajshahi province), Maulvibazar district (Sylhet province), Chuadanga, Jhenaidah, Meherpur districts (Khulna province), Gaibandha district (Rangpur province), Patuakhali district (Barisal province), Noakhali district (Chittagong province)",,,100,Kph,Storm,"Tropical cyclone",--,--,12,200,0,0,,2001-0198
01/04/2001,01/04/2001,Bangladesh,BGD,"Patuakhali district (Barisal province), Satkhira district (Khulna province)",,,,Kph,Storm,"Tropical cyclone",--,--,193,2500,0,0,,2001-0202
28/04/2001,28/04/2001,Bangladesh,BGD,"Sirajganj, Pabna districts (Rajshahi province), Sylhet district (Sylhet province)",,,80,Kph,Storm,--,--,--,21,600,0,0,,2001-0273
05/10/2001,05/10/2001,Bangladesh,BGD,"Lalmonirhat, Nilphamari, Gaibandha, Rangpur districts (Rangpur province)",,,150,Kph,Storm,"Convective storm",--,--,12,25450,0,0,,2001-0563
25/03/2002,25/03/2002,Bangladesh,BGD,"Cox's Bazar district (Chittagong province)",,,90,Kph,Storm,--,--,--,32,1000,0,0,,2002-0211
22/04/2002,22/04/2002,Bangladesh,BGD,"Gaibandha, Lalmonirhat, Nilphamari, Rangpur, Kurigram districts (Rangpur province), Bogra, Sirajganj districts (Rajshahi province), Netrakona, Kishoreganj districts (Dhaka province)",,,,Kph,Storm,"Tropical cyclone",--,--,31,100400,0,0,,2002-0233
14/07/2002,14/07/2002,Bangladesh,BGD,"Rajshahi district (Rajshahi province)",,,,Kph,Storm,--,--,--,10,0,0,0,,2002-0425
14/11/2002,14/11/2002,Bangladesh,BGD,"Barguna district (Barisal province)",,,85,Kph,Storm,"Tropical cyclone",--,--,49,0,0,0,,2002-0705
16/04/2003,16/04/2003,Bangladesh,BGD,"Dhaka province",,,100,Kph,Storm,--,--,--,9,20,0,0,,2003-0190
04/05/2003,04/05/2003,Bangladesh,BGD,"Noabadi, Nayabadi, Merashani villages (Brahamanbaria district, Chittagong)",,,120,Kph,Storm,"Tropical cyclone",Hail,"Slide (land, mud, snow, rock)",23,400,0,0,,2003-0211
20/12/2003,20/12/2003,Bangladesh,BGD,"Barguna district (Barisal province)",,,,Kph,Storm,"Tropical cyclone",--,--,28,0,0,0,,2003-0779
14/04/2004,15/04/2004,Bangladesh,BGD,"Mymensingh, Netrakona districts (Dhaka province)",,,120,Kph,Storm,"Convective storm",--,--,76,13000,0,0,,2004-0166
12/06/2004,13/06/2004,Bangladesh,BGD,"Cox's Bazar, Tekhnaf areas (Cox's Bazar district, Chittagong province)",,,,Kph,Storm,--,Surge,--,153,50,0,0,,2004-0286
13/05/2004,13/05/2004,Bangladesh,BGD,"Sylhet province",,,,Kph,Storm,"Convective storm",--,--,10,4050,0,0,,2004-0678
17/07/2004,17/07/2004,Bangladesh,BGD,"Sunamganj district (Sylhet province)",,,,Kph,Storm,--,--,--,0,1100,0,0,,2004-0679
20/03/2005,23/03/2005,Bangladesh,BGD,"Gaibandha, Rangpur districts (Rangpur province), Chandpur district (Chittagong province), Habiganj district (Sylhet province), Faridpur, Kishoreganj, Manikganj, Munshiganj districts (Dhaka province)",,,100,Kph,Storm,"Convective storm",Rain,Rain,79,11500,0,0,,2005-0130
31/03/2005,31/03/2005,Bangladesh,BGD,"Manikganj district (Dhaka province), Natore, Sirajganj, Pabna districts (Rajshahi province)",,,,Kph,Storm,"Tropical cyclone",--,--,24,10500,0,0,,2005-0190
21/05/2005,22/05/2005,Bangladesh,BGD,"Lakshmipur, Cox's Bazar districts (Chittagong province), Rajbari district (Dhaka province)",,,,Kph,Storm,--,--,--,10,6,0,0,,2005-0259
14/05/2005,14/05/2005,Bangladesh,BGD,"Pabna district (Rajshahi province)",,,,Kph,Storm,--,--,--,2,100,0,0,,2005-0273
06/05/2005,06/05/2005,Bangladesh,BGD,"Rangpur, Dinadjpur districts (Rangpur province)",,,,Kph,Storm,--,--,--,11,1500,0,0,,2005-0282
30/06/2005,30/06/2005,Bangladesh,BGD,"Cox's Bazar district (Chittagong province)",,,,Kph,Storm,--,--,--,35,0,0,0,,2005-0391
20/09/2005,20/09/2005,Bangladesh,BGD,"Barisal, Chittagong, Khulna provinces",,,,Kph,Storm,--,--,--,16,12000,0,0,,2005-0537
04/03/2006,04/03/2006,Bangladesh,BGD,"Bagerhat, Khulna districts (Khulna province)",,,150,Kph,Storm,"Convective storm",--,--,4,5899,0,0,,2006-0146
18/09/2006,05/10/2006,Bangladesh,BGD,"Hatiya area (Noakhali district, Chittagong province), Bagerhat district (Khulna province), Patuakhali, Barguna districts (Barisal province)",19.73,83.75,,Kph,Storm,"Tropical cyclone",Flood,--,115,9135,0,0,,2006-0510
