term	cat
angel dust	DRUGS
marijuana	DRUGS
reefer	DRUGS
opium	DRUGS
hallucinogen	DRUGS
hallucinogenic	DRUGS
hallucinogenics	DRUGS
selling drugs	DRUGS
illicit drug	DRUGS
illicit drugs	DRUGS
hashish	DRUGS
mdma	DRUGS
drug trade	DRUG TRADE
drug trafficking	DRUG TRADE
drug smuggling	DRUG TRADE
drug killings	DRUG TRADE
drug killing	DRUG TRADE
drug violence	DRUG TRADE
narco	DRUG TRADE
narcos	DRUG TRADE
narcotic trafficking	DRUG TRADE
drug pusher	DRUG TRADE
drug dealer	DRUG TRADE
drug cartel	DRUG TRADE
mafia	ORGANIZED CRIME
gang	ORGANIZED CRIME
mobster	ORGANIZED CRIME
organized crime	ORGANIZED CRIME
organised crime	ORGANIZED CRIME
alleged mafioso	ORGANIZED CRIME
racketeer	ORGANIZED CRIME
racketeering	ORGANIZED CRIME
robbery	COMMON ROBBERY
robbed	COMMON ROBBERY
burglary	COMMON ROBBERY
burglar	COMMON ROBBERY
pickpocket	COMMON ROBBERY
pickpocket	COMMON ROBBERY
pickpocket	COMMON ROBBERY
pick pocket	COMMON ROBBERY
pick pocket	COMMON ROBBERY
thief	COMMON ROBBERY
robber	COMMON ROBBERY
street crime	COMMON ROBBERY
street criminal	COMMON ROBBERY
extremist	ID EXTREMISM
extremism	ID EXTREMISM
radicalize	ID EXTREMISM
radicalization	ID EXTREMISM
extreme left	ID EXTREMISM
extreme right	ID EXTREMISM
radical	ID EXTREMISM
fanatical	ID EXTREMISM
fanaticism	ID EXTREMISM
far left	ID EXTREMISM
far right	ID EXTREMISM
farleft	ID EXTREMISM
farright	ID EXTREMISM
fringe element	ID EXTREMISM
nazi	ID EXTREMISM
neonazi	ID EXTREMISM
zealot	ID EXTREMISM
shortage	SHORTAGE
shortages	SHORTAGE
rationing	SHORTAGE
outages	SHORTAGE
blackouts	SHORTAGE
brownouts	SHORTAGE
power blackout	ELECTRICITY OUTAGE
power failure	ELECTRICITY OUTAGE
power outage	ELECTRICITY OUTAGE
knocked out power	ELECTRICITY OUTAGE
power disruption	ELECTRICITY OUTAGE
disruption of power	ELECTRICITY OUTAGE
without power	ELECTRICITY OUTAGE
to restore power	ELECTRICITY OUTAGE
to restore electricity	ELECTRICITY OUTAGE
downed power line	ELECTRICITY OUTAGE
without electricity	ELECTRICITY OUTAGE
power wont be restored	ELECTRICITY OUTAGE
price of food	FOOD SECURITY
cost of food	FOOD SECURITY
food security	FOOD SECURITY
food shortage	FOOD SECURITY
starvation	FOOD SECURITY
food access	FOOD SECURITY
famine	FOOD SECURITY
access food	FOOD SECURITY
food aid	FOOD SECURITY
famine	FOOD SECURITY
lack of food	FOOD SECURITY
food crisis	FOOD SECURITY
food emergency	FOOD SECURITY
crop failure	FOOD SECURITY
crop fail	FOOD SECURITY
