nameEN	nameAR	altName	lat	lon	population	place	id
Higlig	هجليج		29.3856417	10.0256429	NA	town	node/210348785
Kaduqli	كادوقلي‎	Kadougli,Кадугли,Кадуглі	29.7155751	11.0085934	92674	city	node/210360300
Abyei	أبيي	アビエイ	28.4334735	9.6044573	NA	town	node/238610118
Kosti	كوستي	Кости,Кості	32.6725113	13.1521864	384e3	city	node/248948488
Al Wusa	NA		32.5158539	13.0369908	NA	village	node/248948627
Um Hajar	NA		32.4272788	13.0404534	NA	village	node/248948635
Um Hajlijah	NA		32.2760296	12.9969623	NA	village	node/248948641
Abu Humayrah	NA		32.2643513	13.0741907	NA	village	node/248948647
Salimah	NA		32.0674386	12.9839427	NA	village	node/248948652
Tandalti	تندلتي		31.866068	13.009027	NA	city	node/248948657
Al Fulah	NA		31.9250508	12.949878	NA	village	node/248948663
Um Hujailijah	NA		31.7865471	12.9875439	NA	village	node/248948669
Umm Ruwaba	أم روابة	Um Rawaba	31.2147916	12.905825	NA	city	node/248948675
Al Rahad	الرهد		30.6397248	12.7234142	NA	town	node/248948680
Al-Ubayyid	الأبيض	El Obeid,Эль-Обейд	30.222559	13.183366	429e3	city	node/248948689
Um Duwainib	NA		32.5686574	15.1418238	NA	village	node/248966783
Port Sudan	بورتسودان	Bur Sudan,Port-Soudan,Porto Sudàn,Porto Sudão,Порт-Судан	37.211709	19.619217	489e3	city	node/288510602
Sawakin	سواكن	Suakin	37.331236	19.103071	4e4	city	node/288512635
Nyala	نيالا	Ньяла	24.8795115	12.0505098	566e3	city	node/291449779
Al-Qadarif	القضارف	Gedaref,Al Quadarif,al Qadarif,Гедареф	35.398832	14.040941	354598	city	node/294865520
Kassala	كسلا	Kasala,Кассала	36.3771099	15.4521163	436e3	city	node/300066939
Wad Madanī	ود مدني	Wad Madani,Вад-Медани	33.5309561	14.3965781	369733	city	node/300069794
Al-Fashir	الفاشر	Al-Faschir,El Fasher,Эль-Фашир	25.3555559	13.6238244	277e3	city	node/300074306
Ad Da'ein	الضعين	El Daein,Ad-Du’ain,Ed Daein	26.1310939	11.4611731	24e4	city	node/300076998
Ad-Damazin	الدمازين	Эд-Дамазин	34.3656298	11.8073636	213e3	city	node/300077759
Geneina	الجنينة	Al-Junaynah,Эль-Генейна	22.4452278	13.4435	178e3	city	node/300078547
Mogran	المقرن		32.5061151	15.6030902	NA	suburb	node/312338791
Er Roseires	NA		34.387746	11.863337	NA	town	node/321368128
Sennar	سنار	Sinja;Sennar al-Madina,Сеннар,Mok-waar	33.6103555	13.5424054	135581	city	node/321438810
Sennar Junction	مفرق سنار		33.5638353	13.5692729	NA	town	node/321439070
Rabak	ربك		32.7398062	13.1844655	152711	city	node/321439793
North Kurdufan State	شمال كردفان	North Kordufan,North Kurdufan State شمال كردفان,Nord-Kurdufan,Kordofan du Nord,Северный Кордофан	29.9999999	15	14e5	state	node/321446174
Red Sea State	البحر الأحمر	Red Sea State البحر الأحمر,Rotes Meer,Mar Rojo,Mer Rouge,Mar Rosso,Mar Vermelho,Красное море,Röda havet	36	20	695874	state	node/321446175
Al Qadarif State	القضارف	Gedarif;Al Qadarif;Gadarif;Gedaref;Gederaf,Al Qadarif State القضارف,al-Qadarif,Al Qadarif,Гедареф	35.0850849	13.9758355	14e5	state	node/321446176
White Nile State	النيل الأبيض	Weißer Nil,Nil Blanc,Белый Нил	32.5	12.5	14e5	state	node/321446178
West Kurdufan State	NA	NA	28.5	12	NA	historical_state	node/321446185
Blue Nile State	النيل الأزرق	An Nil al Azraq,النيل الأزرق Blue Nile State,Blauer Nil,Nil Bleu,Kék Nílus,Голубой Нил,Al Wilāyah al Wusţá,Zentral,Central State	34.122894	11.9566972	NA	state	node/321446195
West Darfur State	غرب دارفور	West Darfur State غرب دارفور,West-Darfur,Darfour-Occidental,West Darfur,Западный Дарфур	22.6574884	13.4263009	1007e3	state	node/321446198
River Nile State	ولاية نهر النيل	an Nīl, Nahr an Nīl,River Nile State ولاية نهر النيل,Nilfluss,Nil,Нил,Nilen	34.055823	17.9984928	9e5	state	node/321446199
South Darfur State	جنوب دارفور	Dārfūr al Janūbīyah, Janūb Dārfūr,South Darfur State جنوب دارفور,Süd-Darfur,Darfour du Sud,Южный Дарфур	25	11	NA	state	node/321446200
South Kurdufan State	جنوب كردفان	South Kordufan,South Kurdufan State جنوب كردفان,Süd-Kurdufan,Kordofan du Sud,Южный Кордофан	31	11	11e5	state	node/321446201
Northern State	الشمالية	الشمالية Northern State,Norden,Nord,Северный	30	19	6e5	state	node/321446203
North Darfur State	شمال دارفور	North Darfur State شمال دارفور,Nord-Darfur,Darfour du Nord,Северный Дарфур	26	16	1583e3	state	node/321446204
Sennar State	سنار	Sennar State سنار,Sannar,Сеннар	33.5	13	11e5	state	node/321446206
Khartoum State	الخرطوم	Khartum,Khartoum,Xertûm,Хартум	32.7476658	15.8359108	47e5	state	node/321446208
