term	cat
uzi	WEAPON
rpg	WEAPON
rocket propelled grenade	WEAPON
ammunition	WEAPON
bomb	WEAPON
rocket	WEAPON
unguided rocket	WEAPON
guided missile	WEAPON
cruise missiles	WEAPON
antiship missile	WEAPON
antiaircraft missile	WEAPON
tow missile	WEAPON
sidewinder missile	WEAPON
ballistic missile	WEAPON
machete	WEAPON
machine gun	WEAPON
revolver	WEAPON
shotgun	WEAPON
tear gas	WEAPON
bayonet	WEAPON
bazooka	WEAPON
dagger	WEAPON
howitzer	WEAPON
sabers	WEAPON
slingshot	WEAPON
spear	WEAPON
switchblade	WEAPON
billy club	WEAPON
bow and arrow	WEAPON
brass knuckles	WEAPON
hunting knife	WEAPON
armament	WEAPON
artillery	WEAPON
recoilless rifle	WEAPON
attack helicopters	WEAPON
apache attack helicopter	WEAPON
fighter jet	WEAPON
f-16	WEAPON
f-22	WEAPON
f-33	WEAPON
f-14	WEAPON
bomber	WEAPON
b-52	WEAPON
m16	WEAPON
m14	WEAPON
50-caliber	WEAPON
predator drone	WEAPON
reaper drone	WEAPON
mq-9 reaper	WEAPON
eurofighter typhoon	WEAPON
mig	WEAPON
aircraft carrier	WEAPON
frigate	WEAPON
arleigh burke-class destroyer	WEAPON
manpad	WEAPON
antiaircraft missile batteries	WEAPON
armored personnel carrier	WEAPON
armoured personnel carrier	WEAPON
infantry fighting vehicle	WEAPON
battle tank	WEAPON
m1a1 abrams	WEAPON
m1 abrams	WEAPON
mrap	WEAPON
bradley fighting vehicle	WEAPON
m2 bradley	WEAPON
harrier jet	WEAPON
su-24	WEAPON
a-37b dragonfly	WEAPON
f-7mg	WEAPON
s565s panther	WEAPON
mirage-2000	WEAPON
as-532 cougar	WEAPON
nh-90 nfh	WEAPON
a-129c mangusta	WEAPON
mig-21pfm	WEAPON
su-30mk	WEAPON
mi-24vm/hind	WEAPON
p-3a orion	WEAPON
ch-47f chinook	WEAPON
p-8a poseidon	WEAPON
ah-64d apache	WEAPON
ah-64 apache	WEAPON
v-22 osprey	WEAPON
hellfire missile	WEAPON
precision guided munition	WEAPON
ied	WEAPON
improvised explosive device	WEAPON
vbied	WEAPON
improvised explosive devise	WEAPON
improvised explosive	WEAPON
improvised bomb	WEAPON
armor piercing roadside bomb	WEAPON
borne ied	WEAPON
weapon of mass destruction	WMD
weapons of mass destruction	WMD
wmd	WMD
nuclear bomb	WMD
nuclear weapon	WMD
nuclear device	WMD
nuclear weapons	WMD
atom bomb	WMD
tactical nuke	WMD
atomic weapons	WMD
nerve gas	WMD
sarin	WMD
sarin gas	WMD
sarin nerve gas	WMD
sarin nerve agent	WMD
vx nerve agent	WMD
mustard gas	WMD
mustard blister agent	WMD
cyclosarin	WMD
vx nerve gas	WMD
vx stockpile	WMD
blister agent	WMD
chemical weapon	WMD
nonconventional weapons	WMD
chemical warfare	WMD
food	FOOD
nutrient	FOOD
nutriment	FOOD
nourishment	FOOD
nutrition	FOOD
sustenance	FOOD
aliment	FOOD
provisions	FOOD
commissariat	FOOD
grocery	FOOD
foodstuff	FOOD
defense	DEFENSE
defence	DEFENSE
angered by 	DEFENSE
ask for 	DEFENSE
call off 	DEFENSE
shut down 	DEFENSE
take leave 	DEFENSE
round up	DEFENSE
come after 	DEFENSE
seem confident 	DEFENSE
set up 	DEFENSE
take shape 	DEFENSE
go forward 	DEFENSE
bring out 	DEFENSE
put out 	DEFENSE
take flight 	DEFENSE
drag out 	DEFENSE
draw out 	DEFENSE
break down 	DEFENSE
bring down 	DEFENSE
strike down 	DEFENSE
wind down 	DEFENSE
wrap up 	DEFENSE
stir up 	DEFENSE
scoff at 	DEFENSE
listen in	DEFENSE
wire tap 	DEFENSE
iron out	DEFENSE
straighten out	DEFENSE
put down 	DEFENSE
come up 	DEFENSE
move up	DEFENSE
lock in	DEFENSE
lock up	DEFENSE
drop off 	DEFENSE
get on 	DEFENSE
put up 	DEFENSE
put forward 	DEFENSE
get hold of 	DEFENSE
