name	normalname	country	latitude	longitude	population
N’dalatando	N’dalatando	AO	-9.29782	14.91162	383100
Mbanza Congo	Mbanza Congo	AO	-6.26703	14.2401	24220
Malanje	Malanje	AO	-9.54015	16.34096	87046
Luanda	Luanda	AO	-8.83682	13.23432	2776168
Caxito	Caxito	AO	-8.57848	13.66425	28224
Cabinda	Cabinda	AO	-5.55	12.2	66020
Sumbe	Sumbe	AO	-11.20605	13.84371	33277
Namibe	Namibe	AO	-15.19611	12.15222	80149
Menongue	Menongue	AO	-14.6585	17.69099	32203
Luena	Luena	AO	-11.78333	19.91667	21115
Lubango	Lubango	AO	-14.91717	13.4925	102541
Longonjo	Longonjo	AO	-12.90667	15.25333	24346
Lobito	Lobito	AO	-12.3644	13.53601	207932
Cuito	Cuito	AO	-12.38333	16.93333	113624
Huambo	Huambo	AO	-12.77611	15.73917	226145
Catumbela	Catumbela	AO	-12.43002	13.54677	16977
Catabola	Catabola	AO	-12.15	17.28333	18855
Camacupa	Camacupa	AO	-12.01667	17.48333	19150
Caluquembe	Caluquembe	AO	-13.78333	14.68333	30300
Caála	Caála	AO	-12.8525	15.56056	21205
Benguela	Benguela	AO	-12.57626	13.40547	151226
Zárate	Zárate	AR	-34.09814	-59.02858	88781
Villa Ocampo	Villa Ocampo	AR	-28.48752	-59.35515	19101
Villa Lugano	Villa Lugano	AR	-34.67907	-58.47263	114000
Villaguay	Villaguay	AR	-31.8653	-59.02689	32027
Villa Gesell	Villa Gesell	AR	-37.26394	-56.97304	23257
Tigre	Tigre	AR	-34.42603	-58.57962	31106
Tandil	Tandil	AR	-37.32167	-59.13316	104325
Santo Tomé	Santo Tomé	AR	-31.66274	-60.7653	59072
Santa Elena	Santa Elena	EC	-2.22622	-80.85873	42214
San Pedro	San Pedro	PH	14.3595	121.0473	270216
San Luis del Palmar	San Luis del Palmar	AR	-27.5079	-58.55454	15347
San Javier	San Javier	ES	37.80626	-0.83736	31432
San Isidro	San Isidro	AR	-34.47145	-58.50776	45190
Saladas	Saladas	AR	-28.25384	-58.62591	18349
Retiro	Retiro	ES	40.41317	-3.68307	126058
Resistencia	Resistencia	AR	-27.46056	-58.98389	387158
Reconquista	Reconquista	AR	-29.15	-59.65	90184
Quilmes	Quilmes	AR	-34.72418	-58.25265	518788
Puerto Rico	Puerto Rico	AR	-26.79598	-55.02402	17491
Puerto Iguazú	Puerto Iguazú	AR	-25.59912	-54.57355	32038
Puerto Esperanza	Puerto Esperanza	AR	-26.01517	-54.67306	15579
Puerto Eldorado	Puerto Eldorado	AR	-26.40843	-54.69463	54189
Posadas	Posadas	AR	-27.36708	-55.89608	323739
Pontevedra	Pontevedra	ES	42.431	-8.64435	81576
Pirané	Pirané	AR	-25.73239	-59.10879	19124
Paso de los Libres	Paso de los Libres	AR	-29.71251	-57.08771	43805
Oberá	Oberá	AR	-27.48706	-55.11994	56528
Necochea	Necochea	AR	-38.5545	-58.73961	80478
Morón	Morón	AR	-34.65344	-58.61975	319934
Monte Caseros	Monte Caseros	AR	-30.25359	-57.63626	24671
Montecarlo	Montecarlo	AR	-26.5662	-54.757	22229
Mercedes	Mercedes	AR	-34.65145	-59.43068	52949
Mar del Plata	Mar del Plata	AR	-38.00228	-57.55754	553935
Luján	Luján	AR	-34.57028	-59.105	81749
La Plata	La Plata	AR	-34.92145	-57.95453	694167
La Paz	La Paz	BO	-16.5	-68.15	812799
Jardín América	Jardín América	AR	-27.04346	-55.22698	24905
Gualeguaychú	Gualeguaychú	AR	-33.00937	-58.51722	78676
Gualeguay	Gualeguay	AR	-33.14156	-59.30966	33120
Goya	Goya	AR	-29.14395	-59.2651	70245
Gobernador Ingeniero Valentín Virasoro	Gobernador Ingeniero Valentín Virasoro	AR	-28.05	-56.03333	28756
General José de San Martín	General José de San Martín	AR	-26.53743	-59.34158	31758
Garupá	Garupá	AR	-27.48171	-55.82921	28814
Formosa	Formosa	AR	-26.17753	-58.17814	221383
Fontana	Fontana	US	34.09223	-117.43505	196069
Federal	Federal	AR	-30.95465	-58.78326	16333
Esquina	Esquina	AR	-30.01444	-59.52719	26399
El Soberbio	El Soberbio	AR	-27.29847	-54.19877	19571
Dolores	Dolores	AR	-36.31321	-57.67918	25190
Curuzú Cuatiá	Curuzú Cuatiá	AR	-29.79171	-58.0546	36390
Corrientes	Corrientes	AR	-27.4806	-58.8341	339067
Concordia	Concordia	AR	-31.39296	-58.02089	145210
Concepción del Uruguay	Concepción del Uruguay	AR	-32.48249	-58.23722	67895
Colegiales	Colegiales	AR	-34.57365	-58.44924	57000
Chajarí	Chajarí	AR	-30.75048	-57.97962	30655
Campana	Campana	AR	-34.16874	-58.95914	81612
